district,doc,pre_date,cur_date,days,pre_read,cur_read,consumption,bill,obstcle,meter,Y,X,ID,flats,land_use,capacity,diameter
ناحيه 50 مراکز اداري دولتي ,11292510,960418,970825,47,1564,16155,412,633996,nan,1396/02/19,4079694.14149,270177.868594,46620700,42,مسكوني,100,0.75
ناحيه 8 گرگان,11705225,980921,961014,97,10395,12159,371,568685,قرائت نشده,1395/06/20,,,43055800,17,مسكوني,70,0.75
ناحيه 5 گرگان,11147901,950426,980207,173,13502,13985,410,108353,از کار افتاده,1390/12/24,,272725.693345,36070600,13,مسكوني,66,0.75
ناحيه 4 گرگان,11157787,941010,990214,152,7385,3188,433,1219749,قرائت نشده,1391/02/12,,,42761200,9,مسكوني,60,0.75
ناحيه 6 گرگان,41119865,981125,960226,82,12472,12692,486,136407,قرائت نشده,1397/11/25,,271984.104536,12030900,42,مسكوني,17,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,11308718,950618,980908,20,6135,19288,104,1612706,nan,1397/07/07,4078122.92627,,24030500,16,مسكوني,6,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,11113402,990307,980205,436,12183,12067,607,1056691,قرائت نشده,1395/09/15,4080191.10516,,42240900,11,مسكوني,30,0.75
ناحيه 4 گرگان,11328638,960820,980925,233,3886,757,122,1261071,از کار افتاده,1390/02/24,,,42550800,3,مسكوني,37,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,11631137,981121,960903,57,9652,5353,432,166535,nan,1395/07/05,4077075.19728,270680.30801700003,22450500,20,مسكوني,13,0.75
ناحيه 50 مراکز اداري دولتي ,11487574,980117,980526,84,15924,15388,195,984975,قرائت نشده,1396/12/23,4079303.72384,,26248300,5,مسكوني,35,0.75
ناحيه روستايي گرگان,11533363,981025,960230,230,8556,17773,624,1466075,nan,1390/03/08,,,21635400,23,مسكوني,35,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,41140023,960224,951026,125,5779,8912,650,1494762,nan,1391/08/30,4080219.678,272291.819571,27072500,12,مسكوني,114,0.75
ناحيه 50 مراکز اداري دولتي ,41016594,980710,990611,189,7248,5143,2771,505102,nan,1397/08/02,,,22250900,5,مسكوني,10,0.75
ناحيه 9 گرگان,11471848,980630,971006,171,15981,15577,352,511523,از کار افتاده,1398/05/14,,273044.646606,51730250,16,مسكوني,10,0.75
املاک استيجاري اموزشي  ,41112798,960317,970430,153,18701,1081,499,972026,nan,1398/10/25,,,63012100,23,مسكوني,14,0.75
